A01	1.043868325
A02	0.789767501
A03	0.612107915
A04	0.401542472
A05	0.194221004
A06	0.103343488
A07	0.05037028
A08	0.019393917
A09	0.011650426
A10	0.002007463
B01	0.996714017
B02	0.779999553
B03	0.598274242
B04	0.396557731
B05	0.193676539
B06	0.100324665
B07	0.049468476
B08	0.019554424
B09	0.011140985
B10	0.002179278
C01	1.010894122
C02	0.787717727
C03	0.599595828
C04	0.401283198
C05	0.197110241
C06	0.104185453
C07	0.050970883
C08	0.020016134
C09	0.011461199
C10	0.001918203
D01	1.005463882
D02	0.795797843
D03	0.6073117
D04	0.405446889
D05	0.199572991
D06	0.102217734
D07	0.050187158
D08	0.020297122
D09	0.011302893
D10	0.001937115
E01	0.99565861
E02	0.779614895
E03	0.596096082
E04	0.392760486
E05	0.191545911
E06	0.099373327
E07	0.050157738
E08	0.019744051
E09	0.011147789
E10	0.001832745
F01	0.999602353
F02	0.79877824
F03	0.601865749
F04	0.396486283
F05	0.189609913
F06	0.101605123
F07	0.050309039
F08	0.019582043
F09	0.010982078
F10	0.001704259
G01	0.997166821
G02	0.798850289
G03	0.608792492
G04	0.40082279
G05	0.196880387
G06	0.09997493
G07	0.050983992
G08	0.020671073
G09	0.011442187
G10	0.00510734
